"tecnologia","asimetria_admin_producao_pp","asimetria_admin_projeto_pp","asimetria_projeto_producao_pp","categoria","administracao","cv_administracao","producao","cv_producao","projeto","cv_projeto"
"IA",-7,-4.4,-2.6,"Impressão e reprodução de gravações",28.7,22.4195571993652,35.7,19.6341255642202,33.1,20.4119239484156
"IA",9,5.8,3.2,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",36.2,19.531439623934,27.2,22.9013484722471,30.4,22.1807049568473
"IA",21,5.7,15.3,"Fabricação de produtos químicos",54,12.312960603352,33,18.1962724813405,48.3,13.3227800677326
"IA",20.1,12.9,7.2,"Fabricação de produtos farmoquímicos e farmacêuticos",53.2,15.5534009228709,33.1,21.5372924897575,40.3,18.2974685712776
"IA",16.2,10.1,6.1,"Fabricação de artigos de borracha e plástico",34.7,15.5997916254166,18.5,23.8668921017335,24.6,20.4226284820739
"IA",18.7,12.5,6.2,"Fabricação de produtos de minerais não-metálicos",46.3,14.2616967550054,27.6,20.8234997306421,33.8,18.131861487944
"IA",4.1,0.7,3.4,"Metalurgia",43.6,15.6632339225191,39.5,17.4098094489829,42.9,15.8290290933083
"IA",13.7,15.8,-2.1,"Fabricação de produtos de metal",30.8,19.3565662584625,17.1,24.7971785641117,15,26.3287383608883
"IA",36.4,3.5,32.9,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",63.7,12.622803964764,27.3,24.1604263143563,60.2,13.6456994681161
"IA",17.1,7.1,10,"Fabricação de máquinas, aparelhos e materiais elétricos",50.4,13.3963461047732,33.3,18.0413989050711,43.3,15.3335063853216
"IA",21.5,3.4,18.1,"Fabricação de máquinas e equipamentos",44.3,12.6873121038388,22.8,20.7260999102695,40.9,13.4750587329786
"IA",12.7,5.6,7.1,"Fabricação de veículos automotores, reboques e carrocerias",35,16.2462744882967,22.3,21.8796059551099,29.4,18.6961195723548
"IA",20.6,5.5,15.1,"Fabricação de outros equipamentos de transporte",31.8,37.6584601037131,11.2,56.4335682066108,26.3,37.6117884855136
"IA",12.7,1.6,11.1,"Fabricação de móveis",26.9,23.3170277946324,14.2,34.2483812667138,25.3,24.1415417080939
"IA",28.8,6.9,21.9,"Fabricação de produtos diversos",37.4,19.4838504658326,8.6,37.186195668475,30.5,22.8722201509411
"IA",6.7,1.5,5.2,"Manutenção, reparação e instalação de máquinas e equipamentos",18.5,40.5442752569562,11.8,51.9075022735108,17,43.9646713648619
"IoT",-11.8,2.2,-14,"Fabricação de produtos alimentícios",37.5,12.6227604573873,49.3,9.85558793597603,35.3,12.8301215389592
"IoT",2.8,1.5,1.3,"Fabricação de bebidas",29.3,32.9195642015827,26.5,31.8787665733679,27.8,31.4774504197578
"IoT",0,9.1,-9.1,"Fabricação de produtos do fumo",18.3,18.2818106031795,18.3,13.5581536136673,9.2,27.1163072273338
"IoT",2.3,11.9,-9.6,"Fabricação de produtos têxteis",40.1,17.5976300331252,37.8,18.3807366659361,28.2,22.757353268386
"IoT",-2.6,3.5,-6.1,"Confecção de artigos do vestuário e acessórios",41.7,19.0481043155753,44.3,18.1513548840016,38.2,19.9524886748737
"IoT",-1.1,2.5,-3.6,"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",41,18.3198712881227,42.1,18.1516535401995,38.5,18.988870985632
"IoT",-12.8,0.6,-13.4,"Fabricação de produtos de madeira",18.2,34.0847431272486,31,24.284131113285,17.6,34.8242275001672
"IoT",-11.9,-1.1,-10.8,"Fabricação de celulose, papel e produtos de papel",24,26.1065749146479,35.9,19.4888997919307,25.1,24.7465345417349
"IoT",2.6,3.7,-1.1,"Impressão e reprodução de gravações",36.9,19.1996942971969,34.3,20.0119564943503,33.2,21.3792933537435
"IoT",-16,-0.9,-15.1,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",43.1,16.1893970030595,59.1,12.5353043005915,44,15.9858457918778
"IoT",-6.9,0.7,-7.6,"Fabricação de produtos químicos",40.9,15.6209534852112,47.8,13.3382925633174,40.2,15.3639493113574
"IoT",-23.4,-8.3,-15.1,"Fabricação de produtos farmoquímicos e farmacêuticos",35.2,21.5927548947339,58.6,13.8095328044691,43.5,17.9064664472459
"IoT",-3.3,-3.1,-0.2,"Fabricação de artigos de borracha e plástico",29.6,18.1401107564799,32.9,16.8925738480673,32.7,17.0486983353331
"IoT",-3.3,11.9,-15.2,"Fabricação de produtos de minerais não-metálicos",31.6,19.4940852652724,34.9,17.6388359389644,19.7,25.7308749719842
"IoT",-12.9,-7.2,-5.7,"Metalurgia",25.1,27.9272537677651,38,19.6879509983988,32.3,22.797866965268
"IoT",-0.8,12.5,-13.3,"Fabricação de produtos de metal",37.1,17.206044769727,37.9,16.5392269430086,24.6,21.1397308224011
"IoT",-10.2,-8.5,-1.7,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",42.4,19.7001889213418,52.6,15.4966299774643,50.9,16.2712833085746
"IoT",-12.5,-2,-10.5,"Fabricação de máquinas, aparelhos e materiais elétricos",25.3,23.518710323919,37.8,16.3444028294313,27.3,21.3047413063206
"IoT",-5.1,-9,3.9,"Fabricação de máquinas e equipamentos",48,11.695927693343,53.1,10.4017630260744,57,9.71086740954549
"IoT",0.2,2.4,-2.2,"Fabricação de veículos automotores, reboques e carrocerias",26.7,20.0087077422903,26.5,18.1437429315077,24.3,20.6328501985765
"IoT",-1.3,13.8,-15.1,"Fabricação de outros equipamentos de transporte",39.3,26.2403399487667,40.6,25.1245168880012,25.5,27.2412600611809
"IoT",2.5,3.4,-0.9,"Fabricação de móveis",39.3,17.3623131020154,36.8,17.81521709171,35.9,18.7626536181089
"IoT",5.1,2.5,2.6,"Fabricação de produtos diversos",38,19.2303028789666,32.9,20.0154843572047,35.5,19.0522352477914
"IoT",11.1,6.9,4.2,"Manutenção, reparação e instalação de máquinas e equipamentos",33.6,30.3633164675647,22.5,35.2706089107924,26.7,34.7911282856375
"Manufatura aditiva",-3.4,-5.6,2.2,"Fabricação de produtos alimentícios",0.3,16.1930024470946,3.7,40.8921092750107,5.9,30.0532786823912
"Manufatura aditiva",-15.5,-6.5,-9,"Fabricação de bebidas",0,NA,15.5,32.1387524500013,6.5,56.289987552695
"Manufatura aditiva",0,-4.6,4.6,"Fabricação de produtos do fumo",0,NA,0,NA,4.6,0
"Manufatura aditiva",-4.6,0.7,-5.3,"Fabricação de produtos têxteis",1.4,79.2981899686345,6,53.730825669039,0.7,0
"Manufatura aditiva",-3.4,-3.6,0.2,"Confecção de artigos do vestuário e acessórios",3.2,83.7466873801453,6.6,53.2479847954389,6.8,52.0663671474335
"Manufatura aditiva",-9.4,-33,23.6,"Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",2.6,0,12,34.8094719664037,35.6,20.3139955728654
"Manufatura aditiva",-4.8,-8.7,3.9,"Fabricação de produtos de madeira",0,NA,4.8,66.7771935684961,8.7,51.1152589566812
"Manufatura aditiva",-5.7,-7.9,2.2,"Fabricação de celulose, papel e produtos de papel",2.1,93.5888094177234,7.8,45.5793602191261,10,38.8286914527135
"Manufatura aditiva",-5.1,-21.9,16.8,"Impressão e reprodução de gravações",4,82.5323827530658,9.1,49.2512234470985,25.9,26.8194479677629
"Manufatura aditiva",-0.7,-0.7,0,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",2.7,67.3255611904514,3.4,54.2522615596205,3.4,54.2522615596205
"Manufatura aditiva",-6.8,-14.4,7.6,"Fabricação de produtos químicos",0.9,0,7.7,26.7043872923892,15.3,25.449614793998
