"tecnologia","categoria","asimetria_pp","par"
"Cloud","Fabricação de máquinas e equipamentos",13.9,"admin_projeto"
"Cloud","Fabricação de máquinas e equipamentos",5.3,"projeto_producao"
"Cloud","Fabricação de veículos automotores, reboques e carrocerias",19.5,"admin_producao"
"Cloud","Fabricação de veículos automotores, reboques e carrocerias",12.3,"admin_projeto"
"Cloud","Fabricação de veículos automotores, reboques e carrocerias",7.2,"projeto_producao"
"Cloud","Fabricação de outros equipamentos de transporte",19.3,"admin_producao"
"Cloud","Fabricação de outros equipamentos de transporte",9.2,"admin_projeto"
"Cloud","Fabricação de outros equipamentos de transporte",10.1,"projeto_producao"
"Cloud","Fabricação de móveis",17.7,"admin_producao"
"Cloud","Fabricação de móveis",7.7,"admin_projeto"
"Cloud","Fabricação de móveis",10,"projeto_producao"
"Cloud","Fabricação de produtos diversos",18,"admin_producao"
"Cloud","Fabricação de produtos diversos",10.8,"admin_projeto"
"Cloud","Fabricação de produtos diversos",7.2,"projeto_producao"
"Cloud","Manutenção, reparação e instalação de máquinas e equipamentos",17.8,"admin_producao"
"Cloud","Manutenção, reparação e instalação de máquinas e equipamentos",14.1,"admin_projeto"
"Cloud","Manutenção, reparação e instalação de máquinas e equipamentos",3.7,"projeto_producao"
"IA","Fabricação de produtos alimentícios",12.5,"admin_producao"
"IA","Fabricação de produtos alimentícios",6.9,"admin_projeto"
"IA","Fabricação de produtos alimentícios",5.6,"projeto_producao"
"IA","Fabricação de bebidas",12,"admin_producao"
"IA","Fabricação de bebidas",8.3,"admin_projeto"
"IA","Fabricação de bebidas",3.7,"projeto_producao"
"IA","Fabricação de produtos do fumo",18.3,"admin_producao"
"IA","Fabricação de produtos do fumo",9.2,"admin_projeto"
"IA","Fabricação de produtos do fumo",9.1,"projeto_producao"
"IA","Fabricação de produtos têxteis",20.5,"admin_producao"
"IA","Fabricação de produtos têxteis",2,"admin_projeto"
"IA","Fabricação de produtos têxteis",18.5,"projeto_producao"
"IA","Confecção de artigos do vestuário e acessórios",13.1,"admin_producao"
"IA","Confecção de artigos do vestuário e acessórios",0.6,"admin_projeto"
"IA","Confecção de artigos do vestuário e acessórios",12.5,"projeto_producao"
"IA","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",11.5,"admin_producao"
